   Elapsed time	 RESP, 	PLETH, 	    V, 	  AVR, 	   II, 
       0:00.496	  0.070	  0.496	  0.555	  0.520	  0.390
       0:00.504	  0.065	  0.495	  0.545	  0.520	  0.404
       0:00.512	  0.061	  0.494	  0.539	  0.520	  0.394
       0:00.520	  0.055	  0.494	  0.539	  0.510	  0.404
       0:00.528	  0.049	  0.494	  0.529	  0.490	  0.429
       0:00.536	  0.044	  0.492	  0.520	  0.484	  0.435
       0:00.544	  0.038	  0.489	  0.520	  0.494	  0.439
       0:00.552	  0.033	  0.487	  0.525	  0.471	  0.461
       0:00.560	  0.028	  0.484	  0.535	  0.455	  0.484
       0:00.568	  0.024	  0.481	  0.539	  0.439	  0.516
       0:00.576	  0.022	  0.478	  0.525	  0.420	  0.551
       0:00.584	  0.020	  0.475	  0.520	  0.384	  0.606
       0:00.592	  0.020	  0.471	  0.516	  0.355	  0.655
       0:00.600	  0.019	  0.468	  0.510	  0.324	  0.696
       0:00.608	  0.020	  0.463	  0.500	  0.304	  0.725
       0:00.616	  0.022	  0.458	  0.500	  0.294	  0.741
       0:00.624	  0.023	  0.454	  0.490	  0.284	  0.751
       0:00.632	  0.026	  0.449	  0.490	  0.290	  0.741
       0:00.640	  0.030	  0.444	  0.475	  0.310	  0.716
       0:00.648	  0.035	  0.439	  0.484	  0.339	  0.665
       0:00.656	  0.042	  0.435	  0.484	  0.380	  0.606
       0:00.664	  0.050	  0.431	  0.490	  0.425	  0.545
       0:00.672	  0.061	  0.426	  0.484	  0.465	  0.475
       0:00.680	  0.070	  0.423	  0.500	  0.500	  0.429
       0:00.688	  0.082	  0.420	  0.510	  0.520	  0.384
       0:00.696	  0.095	  0.418	  0.520	  0.545	  0.345
       0:00.704	  0.108	  0.416	  0.525	  0.565	  0.320
       0:00.712	  0.121	  0.414	  0.525	  0.580	  0.310
       0:00.720	  0.134	  0.414	  0.525	  0.580	  0.310
       0:00.728	  0.147	  0.413	  0.529	  0.571	  0.310
       0:00.736	  0.159	  0.413	  0.525	  0.575	  0.304
       0:00.744	  0.171	  0.413	  0.520	  0.590	  0.294
       0:00.752	  0.185	  0.413	  0.516	  0.580	  0.300
       0:00.760	  0.197	  0.413	  0.506	  0.565	  0.329
       0:00.768	  0.211	  0.413	  0.500	  0.571	  0.329
       0:00.776	  0.226	  0.413	  0.500	  0.571	  0.324
       0:00.784	  0.238	  0.415	  0.506	  0.561	  0.339
       0:00.792	  0.250	  0.417	  0.510	  0.565	  0.329
       0:00.800	  0.262	  0.419	  0.516	  0.565	  0.335
       0:00.808	  0.274	  0.420	  0.500	  0.561	  0.339
       0:00.816	  0.284	  0.421	  0.506	  0.565	  0.339
       0:00.824	  0.295	  0.421	  0.506	  0.555	  0.339
       0:00.832	  0.306	  0.420	  0.500	  0.561	  0.339
       0:00.840	  0.317	  0.419	  0.500	  0.565	  0.335
       0:00.848	  0.328	  0.416	  0.506	  0.561	  0.329
       0:00.856	  0.340	  0.414	  0.500	  0.571	  0.320
       0:00.864	  0.352	  0.413	  0.510	  0.565	  0.329
       0:00.872	  0.364	  0.413	  0.506	  0.565	  0.335
       0:00.880	  0.374	  0.416	  0.535	  0.561	  0.339
       0:00.888	  0.385	  0.421	  0.555	  0.545	  0.355
       0:00.896	  0.394	  0.428	  0.571	  0.535	  0.365
       0:00.904	  0.404	  0.437	  0.555	  0.551	  0.345
       0:00.912	  0.414	  0.451	  0.539	  0.545	  0.335
       0:00.920	  0.425	  0.468	  0.500	  0.561	  0.314
       0:00.928	  0.438	  0.487	  0.484	  0.571	  0.310
       0:00.936	  0.450	  0.505	  0.465	  0.571	  0.314
       0:00.944	  0.461	  0.524	  0.461	  0.565	  0.329
       0:00.952	  0.473	  0.542	  0.465	  0.571	  0.320
       0:00.960	  0.484	  0.558	  0.461	  0.561	  0.335
       0:00.968	  0.496	  0.572	  0.475	  0.575	  0.310
       0:00.976	  0.508	  0.582	  0.475	  0.580	  0.310
       0:00.984	  0.522	  0.587	  0.471	  0.590	  0.304
       0:00.992	  0.536	  0.590	  0.465	  0.580	  0.310
       0:01.000	  0.550	  0.590	  0.475	  0.580	  0.314
       0:01.008	  0.567	  0.591	  0.565	  0.596	  0.265
       0:01.016	  0.583	  0.590	  0.584	  0.494	  0.455
       0:01.024	  0.599	  0.589	  0.239	  0.084	  1.208
       0:01.032	  0.617	  0.587	 -0.388	 -0.418	  1.504
       0:01.040	  0.632	  0.583	 -0.502	 -0.424	  1.504
       0:01.048	  0.647	  0.578	  0.029	  0.375	  0.826
       0:01.056	  0.662	  0.571	  0.394	  0.606	  0.335
       0:01.064	  0.675	  0.563	  0.475	  0.575	  0.314
       0:01.072	  0.690	  0.552	  0.480	  0.561	  0.335
       0:01.080	  0.704	  0.541	  0.500	  0.571	  0.314
       0:01.088	  0.718	  0.529	  0.510	  0.571	  0.310
       0:01.096	  0.733	  0.517	  0.520	  0.571	  0.304
       0:01.104	  0.747	  0.507	  0.525	  0.571	  0.310
       0:01.112	  0.761	  0.498	  0.520	  0.555	  0.314
       0:01.120	  0.773	  0.488	  0.506	  0.561	  0.310
       0:01.128	  0.786	  0.480	  0.494	  0.545	  0.335
       0:01.136	  0.799	  0.474	  0.490	  0.555	  0.335
       0:01.144	  0.812	  0.470	  0.494	  0.539	  0.349
       0:01.152	  0.826	  0.468	  0.500	  0.535	  0.365
       0:01.160	  0.840	  0.467	  0.484	  0.525	  0.375
       0:01.168	  0.854	  0.466	  0.475	  0.510	  0.404
       0:01.176	  0.870	  0.464	  0.480	  0.500	  0.425
       0:01.184	  0.885	  0.460	  0.490	  0.480	  0.449
       0:01.192	  0.900	  0.457	  0.490	  0.465	  0.480
       0:01.200	  0.915	  0.453	  0.494	  0.445	  0.516
       0:01.208	  0.929	  0.448	  0.475	  0.410	  0.571
       0:01.216	  0.941	  0.444	  0.461	  0.384	  0.610
       0:01.224	  0.955	  0.439	  0.445	  0.339	  0.676
       0:01.232	  0.968	  0.433	  0.429	  0.310	  0.731
       0:01.240	  0.981	  0.430	  0.429	  0.284	  0.776
       0:01.248	  0.991	  0.427	  0.425	  0.265	  0.800
       0:01.256	  1.000	  0.425	  0.425	  0.265	  0.800
       0:01.264	  1.000	  0.422	  0.429	  0.269	  0.800
       0:01.272	  1.000	  0.419	  0.410	  0.278	  0.776
       0:01.280	  1.000	  0.417	  0.404	  0.324	  0.716
       0:01.288	  1.000	  0.415	  0.429	  0.365	  0.651
       0:01.296	  1.000	  0.413	  0.471	  0.410	  0.584
       0:01.304	  1.000	  0.413	  0.500	  0.455	  0.506
       0:01.312	  1.000	  0.412	  0.539	  0.506	  0.435
       0:01.320	  1.000	  0.412	  0.565	  0.545	  0.371
       0:01.328	  1.000	  0.412	  0.596	  0.571	  0.329
       0:01.336	  1.000	  0.413	  0.600	  0.596	  0.290
       0:01.344	  1.000	  0.413	  0.610	  0.616	  0.259
       0:01.352	  1.000	  0.413	  0.616	  0.625	  0.239
       0:01.360	  1.000	  0.414	  0.610	  0.635	  0.229
       0:01.368	  1.000	  0.415	  0.590	  0.629	  0.239
       0:01.376	  1.000	  0.416	  0.584	  0.616	  0.255
       0:01.384	  1.000	  0.416	  0.580	  0.616	  0.265
       0:01.392	  1.000	  0.417	  0.584	  0.600	  0.284
       0:01.400	  1.000	  0.417	  0.590	  0.584	  0.304
       0:01.408	  1.000	  0.418	  0.596	  0.571	  0.329
       0:01.416	  1.000	  0.418	  0.606	  0.565	  0.345
       0:01.424	  1.000	  0.418	  0.596	  0.551	  0.355
       0:01.432	  1.000	  0.419	  0.596	  0.551	  0.371
       0:01.440	  1.000	  0.420	  0.590	  0.545	  0.380
       0:01.448	  1.000	  0.420	  0.590	  0.539	  0.384
       0:01.456	  1.000	  0.421	  0.571	  0.539	  0.394
       0:01.464	  1.000	  0.420	  0.571	  0.545	  0.384
       0:01.472	  1.000	  0.418	  0.565	  0.545	  0.384
       0:01.480	  1.000	  0.416	  0.565	  0.539	  0.380
       0:01.488	  1.000	  0.415	  0.555	  0.551	  0.375
       0:01.496	  1.000	  0.413	  0.551	  0.551	  0.371
       0:01.504	  1.000	  0.412	  0.545	  0.545	  0.365
       0:01.512	  1.000	  0.411	  0.561	  0.551	  0.359
       0:01.520	  1.000	  0.412	  0.571	  0.539	  0.375
       0:01.528	  1.000	  0.414	  0.596	  0.529	  0.384
       0:01.536	  1.000	  0.419	  0.606	  0.539	  0.380
       0:01.544	  1.000	  0.427	  0.616	  0.539	  0.359
       0:01.552	  1.000	  0.439	  0.590	  0.545	  0.349
       0:01.560	  1.000	  0.454	  0.565	  0.561	  0.314
       0:01.568	  1.000	  0.472	  0.525	  0.571	  0.310
       0:01.576	  1.000	  0.490	  0.516	  0.571	  0.320
       0:01.584	  1.000	  0.508	  0.490	  0.565	  0.335
       0:01.592	  1.000	  0.524	  0.484	  0.561	  0.339
       0:01.600	  1.000	  0.537	  0.494	  0.561	  0.335
       0:01.608	  1.000	  0.548	  0.500	  0.565	  0.335
       0:01.616	  1.000	  0.559	  0.500	  0.571	  0.324
       0:01.624	  1.000	  0.568	  0.500	  0.575	  0.329
       0:01.632	  0.989	  0.574	  0.500	  0.571	  0.335
       0:01.640	  0.978	  0.578	  0.494	  0.571	  0.345
       0:01.648	  0.959	  0.580	  0.551	  0.584	  0.300
       0:01.656	  0.939	  0.580	  0.610	  0.606	  0.259
       0:01.664	  0.919	  0.579	  0.449	  0.355	  0.716
       0:01.672	  0.898	  0.577	 -0.163	 -0.186	  1.504
       0:01.680	  0.879	  0.574	 -0.502	 -0.382	  1.504
       0:01.688	  0.859	  0.570	 -0.337	  0.094	  1.378
       0:01.696	  0.841	  0.564	  0.214	  0.516	  0.520
       0:01.704	  0.823	  0.555	  0.394	  0.545	  0.404
       0:01.712	  0.804	  0.544	  0.439	  0.525	  0.410
       0:01.720	  0.785	  0.533	  0.475	  0.539	  0.371
       0:01.728	  0.764	  0.521	  0.500	  0.539	  0.355
       0:01.736	  0.745	  0.509	  0.520	  0.555	  0.335
       0:01.744	  0.726	  0.500	  0.516	  0.545	  0.355
       0:01.752	  0.708	  0.492	  0.500	  0.535	  0.371
       0:01.760	  0.691	  0.486	  0.484	  0.529	  0.375
       0:01.768	  0.674	  0.480	  0.480	  0.535	  0.365
       0:01.776	  0.657	  0.474	  0.484	  0.525	  0.380
       0:01.784	  0.639	  0.469	  0.494	  0.529	  0.380
       0:01.792	  0.624	  0.465	  0.500	  0.520	  0.380
       0:01.800	  0.607	  0.462	  0.494	  0.516	  0.400
       0:01.808	  0.592	  0.460	  0.475	  0.500	  0.420
       0:01.816	  0.578	  0.457	  0.484	  0.500	  0.420
       0:01.824	  0.565	  0.455	  0.475	  0.475	  0.461
       0:01.832	  0.552	  0.451	  0.480	  0.465	  0.475
       0:01.840	  0.543	  0.446	  0.475	  0.449	  0.506
       0:01.848	  0.533	  0.441	  0.480	  0.435	  0.525
       0:01.856	  0.525	  0.437	  0.475	  0.400	  0.590
       0:01.864	  0.517	  0.432	  0.480	  0.375	  0.620
       0:01.872	  0.510	  0.428	  0.475	  0.339	  0.676
       0:01.880	  0.504	  0.425	  0.475	  0.310	  0.722
       0:01.888	  0.500	  0.423	  0.471	  0.284	  0.751
       0:01.896	  0.496	  0.421	  0.475	  0.269	  0.776
       0:01.904	  0.492	  0.419	  0.480	  0.278	  0.771
       0:01.912	  0.488	  0.417	  0.480	  0.275	  0.771
       0:01.920	  0.485	  0.415	  0.480	  0.294	  0.745
       0:01.928	  0.482	  0.413	  0.484	  0.329	  0.690
       0:01.936	  0.479	  0.413	  0.480	  0.371	  0.629
       0:01.944	  0.477	  0.411	  0.480	  0.410	  0.565
       0:01.952	  0.475	  0.410	  0.480	  0.449	  0.506
       0:01.960	  0.473	  0.409	  0.490	  0.490	  0.455
       0:01.968	  0.471	  0.408	  0.494	  0.516	  0.416
       0:01.976	  0.470	  0.408	  0.494	  0.529	  0.390
       0:01.984	  0.468	  0.408	  0.500	  0.545	  0.365
       0:01.992	  0.467	  0.408	  0.500	  0.561	  0.345
       0:02.000	  0.465	  0.408	  0.506	  0.571	  0.335
       0:02.008	  0.464	  0.409	  0.500	  0.565	  0.329
       0:02.016	  0.461	  0.409	  0.516	  0.565	  0.335
       0:02.024	  0.459	  0.408	  0.510	  0.571	  0.324
       0:02.032	  0.456	  0.408	  0.516	  0.561	  0.339
       0:02.040	  0.454	  0.408	  0.510	  0.545	  0.359
       0:02.048	  0.449	  0.409	  0.510	  0.545	  0.365
       0:02.056	  0.445	  0.409	  0.500	  0.545	  0.375
       0:02.064	  0.439	  0.411	  0.510	  0.539	  0.365
       0:02.072	  0.434	  0.412	  0.506	  0.535	  0.380
       0:02.080	  0.428	  0.412	  0.510	  0.529	  0.384
       0:02.088	  0.422	  0.413	  0.506	  0.535	  0.394
       0:02.096	  0.414	  0.413	  0.510	  0.520	  0.404
       0:02.104	  0.407	  0.411	  0.506	  0.529	  0.380
       0:02.112	  0.397	  0.409	  0.500	  0.520	  0.394
       0:02.120	  0.387	  0.407	  0.500	  0.520	  0.394
       0:02.128	  0.376	  0.405	  0.506	  0.529	  0.380
       0:02.136	  0.366	  0.405	  0.506	  0.535	  0.375
       0:02.144	  0.354	  0.406	  0.510	  0.539	  0.371
       0:02.152	  0.342	  0.409	  0.510	  0.535	  0.375
       0:02.160	  0.331	  0.414	  0.529	  0.525	  0.390
       0:02.168	  0.322	  0.424	  0.545	  0.520	  0.400
       0:02.176	  0.313	  0.438	  0.565	  0.520	  0.394
       0:02.184	  0.303	  0.457	  0.571	  0.520	  0.390
       0:02.192	  0.295	  0.475	  0.575	  0.529	  0.380
       0:02.200	  0.287	  0.493	  0.545	  0.539	  0.355
       0:02.208	  0.281	  0.512	  0.520	  0.561	  0.320
       0:02.216	  0.274	  0.531	  0.494	  0.551	  0.345
       0:02.224	  0.268	  0.549	  0.471	  0.545	  0.359
       0:02.232	  0.263	  0.565	  0.461	  0.545	  0.375
       0:02.240	  0.259	  0.579	  0.465	  0.545	  0.371
       0:02.248	  0.255	  0.589	  0.480	  0.545	  0.375
       0:02.256	  0.253	  0.598	  0.490	  0.561	  0.339
       0:02.264	  0.251	  0.604	  0.500	  0.565	  0.349
       0:02.272	  0.250	  0.608	  0.494	  0.571	  0.339
       0:02.280	  0.250	  0.610	  0.494	  0.565	  0.349
       0:02.288	  0.251	  0.610	  0.490	  0.561	  0.355
       0:02.296	  0.252	  0.610	  0.600	  0.590	  0.269
       0:02.304	  0.253	  0.609	  0.616	  0.500	  0.449
       0:02.312	  0.255	  0.609	  0.200	  0.110	  1.176
       0:02.320	  0.256	  0.606	 -0.502	 -0.367	  1.504
       0:02.328	  0.258	  0.601	 -0.502	 -0.382	  1.504
       0:02.336	  0.259	  0.594	 -0.073	  0.375	  0.816
       0:02.344	  0.260	  0.585	  0.300	  0.529	  0.455
       0:02.352	  0.259	  0.575	  0.410	  0.520	  0.429
       0:02.360	  0.259	  0.563	  0.471	  0.525	  0.400
       0:02.368	  0.257	  0.551	  0.506	  0.535	  0.365
       0:02.376	  0.256	  0.540	  0.535	  0.545	  0.349
       0:02.384	  0.254	  0.529	  0.545	  0.545	  0.339
       0:02.392	  0.252	  0.521	  0.539	  0.539	  0.349
       0:02.400	  0.249	  0.513	  0.539	  0.525	  0.371
       0:02.408	  0.246	  0.506	  0.529	  0.525	  0.359
       0:02.416	  0.241	  0.502	  0.525	  0.520	  0.380
       0:02.424	  0.238	  0.499	  0.520	  0.510	  0.394
       0:02.432	  0.233	  0.497	  0.529	  0.500	  0.404
       0:02.440	  0.227	  0.495	  0.529	  0.500	  0.416
       0:02.448	  0.221	  0.492	  0.535	  0.494	  0.420
       0:02.456	  0.215	  0.489	  0.520	  0.484	  0.429
       0:02.464	  0.208	  0.486	  0.520	  0.475	  0.449
       0:02.472	  0.202	  0.481	  0.525	  0.465	  0.471
       0:02.480	  0.196	  0.476	  0.520	  0.445	  0.490
       0:02.488	  0.192	  0.472	  0.520	  0.425	  0.520
       0:02.496	  0.188	  0.468	  0.520	  0.404	  0.565
       0:02.504	  0.183	  0.465	  0.516	  0.380	  0.600
       0:02.512	  0.179	  0.462	  0.516	  0.349	  0.645
       0:02.520	  0.175	  0.460	  0.510	  0.320	  0.696
       0:02.528	  0.171	  0.458	  0.510	  0.290	  0.745
       0:02.536	  0.168	  0.457	  0.506	  0.269	  0.776
       0:02.544	  0.165	  0.454	  0.520	  0.255	  0.796
       0:02.552	  0.163	  0.450	  0.520	  0.259	  0.796
       0:02.560	  0.161	  0.446	  0.520	  0.265	  0.780
       0:02.568	  0.159	  0.442	  0.506	  0.290	  0.741
       0:02.576	  0.158	  0.438	  0.500	  0.320	  0.700
       0:02.584	  0.157	  0.433	  0.494	  0.359	  0.651
       0:02.592	  0.155	  0.429	  0.500	  0.404	  0.584
       0:02.600	  0.154	  0.424	  0.506	  0.445	  0.525
       0:02.608	  0.153	  0.418	  0.516	  0.475	  0.480
       0:02.616	  0.152	  0.414	  0.529	  0.494	  0.455
       0:02.624	  0.152	  0.412	  0.545	  0.506	  0.429
       0:02.632	  0.151	  0.410	  0.545	  0.516	  0.416
       0:02.640	  0.150	  0.409	  0.565	  0.529	  0.400
       0:02.648	  0.149	  0.410	  0.575	  0.535	  0.390
       0:02.656	  0.148	  0.410	  0.575	  0.539	  0.390
       0:02.664	  0.147	  0.410	  0.571	  0.525	  0.404
       0:02.672	  0.145	  0.411	  0.571	  0.529	  0.416
       0:02.680	  0.143	  0.411	  0.575	  0.535	  0.410
       0:02.688	  0.141	  0.411	  0.571	  0.520	  0.420
       0:02.696	  0.138	  0.411	  0.580	  0.520	  0.425
       0:02.704	  0.134	  0.411	  0.575	  0.525	  0.420
       0:02.712	  0.131	  0.411	  0.580	  0.520	  0.425
       0:02.720	  0.127	  0.411	  0.571	  0.520	  0.416
       0:02.728	  0.123	  0.412	  0.575	  0.520	  0.425
       0:02.736	  0.118	  0.411	  0.571	  0.516	  0.425
       0:02.744	  0.112	  0.411	  0.571	  0.520	  0.416
       0:02.752	  0.106	  0.411	  0.565	  0.529	  0.410
       0:02.760	  0.099	  0.410	  0.555	  0.529	  0.404
       0:02.768	  0.091	  0.410	  0.545	  0.545	  0.394
       0:02.776	  0.083	  0.410	  0.539	  0.529	  0.404
       0:02.784	  0.075	  0.410	  0.535	  0.535	  0.400
       0:02.792	  0.066	  0.411	  0.539	  0.539	  0.380
       0:02.800	  0.060	  0.413	  0.545	  0.520	  0.404
       0:02.808	  0.053	  0.416	  0.561	  0.525	  0.410
       0:02.816	  0.048	  0.425	  0.590	  0.520	  0.404
       0:02.824	  0.042	  0.438	  0.600	  0.516	  0.416
       0:02.832	  0.037	  0.456	  0.590	  0.520	  0.394
       0:02.840	  0.032	  0.476	  0.561	  0.535	  0.375
       0:02.848	  0.027	  0.497	  0.529	  0.539	  0.365
       0:02.856	  0.023	  0.518	  0.500	  0.539	  0.359
       0:02.864	  0.022	  0.538	  0.490	  0.545	  0.359
       0:02.872	  0.020	  0.555	  0.480	  0.545	  0.365
       0:02.880	  0.020	  0.570	  0.475	  0.555	  0.355
       0:02.888	  0.020	  0.581	  0.480	  0.551	  0.359
       0:02.896	  0.022	  0.587	  0.494	  0.561	  0.349
       0:02.904	  0.026	  0.592	  0.494	  0.565	  0.339
       0:02.912	  0.031	  0.597	  0.500	  0.571	  0.335
       0:02.920	  0.037	  0.599	  0.490	  0.571	  0.335
       0:02.928	  0.045	  0.600	  0.484	  0.561	  0.345
       0:02.936	  0.053	  0.600	  0.584	  0.596	  0.274
       0:02.944	  0.063	  0.598	  0.616	  0.506	  0.429
       0:02.952	  0.072	  0.594	  0.290	  0.155	  1.092
       0:02.960	  0.083	  0.589	 -0.363	 -0.353	  1.504
       0:02.968	  0.094	  0.585	 -0.502	 -0.378	  1.504
       0:02.976	  0.105	  0.577	 -0.006	  0.345	  0.896
       0:02.984	  0.115	  0.567	  0.380	  0.590	  0.359
       0:02.992	  0.127	  0.556	  0.445	  0.571	  0.339
       0:03.000	  0.139	  0.545	  0.471	  0.551	  0.355
       0:03.008	  0.152	  0.532	  0.494	  0.561	  0.335
       0:03.016	  0.165	  0.517	  0.516	  0.571	  0.310
       0:03.024	  0.177	  0.503	  0.529	  0.565	  0.314
       0:03.032	  0.189	  0.492	  0.516	  0.561	  0.310
       0:03.040	  0.200	  0.482	  0.506	  0.565	  0.320
       0:03.048	  0.211	  0.476	  0.510	  0.551	  0.335
       0:03.056	  0.223	  0.472	  0.506	  0.561	  0.329
       0:03.064	  0.235	  0.470	  0.500	  0.545	  0.345
       0:03.072	  0.247	  0.469	  0.494	  0.551	  0.355
       0:03.080	  0.260	  0.467	  0.500	  0.539	  0.359
       0:03.088	  0.274	  0.466	  0.484	  0.535	  0.371
       0:03.096	  0.287	  0.465	  0.475	  0.539	  0.375
       0:03.104	  0.301	  0.463	  0.471	  0.520	  0.390
       0:03.112	  0.315	  0.461	  0.475	  0.506	  0.420
       0:03.120	  0.327	  0.459	  0.471	  0.490	  0.445
       0:03.128	  0.339	  0.456	  0.475	  0.465	  0.480
       0:03.136	  0.350	  0.453	  0.471	  0.435	  0.529
       0:03.144	  0.361	  0.450	  0.465	  0.404	  0.571
       0:03.152	  0.372	  0.446	  0.455	  0.375	  0.620
       0:03.160	  0.384	  0.441	  0.449	  0.335	  0.686
       0:03.168	  0.397	  0.435	  0.435	  0.304	  0.725
       0:03.176	  0.410	  0.430	  0.429	  0.294	  0.741
       0:03.184	  0.420	  0.425	  0.439	  0.290	  0.745
       0:03.192	  0.432	  0.421	  0.429	  0.284	  0.755
       0:03.200	  0.442	  0.417	  0.445	  0.304	  0.725
       0:03.208	  0.452	  0.414	  0.445	  0.329	  0.686
       0:03.216	  0.462	  0.413	  0.465	  0.375	  0.616
       0:03.224	  0.474	  0.411	  0.465	  0.404	  0.565
       0:03.232	  0.487	  0.411	  0.475	  0.455	  0.494
       0:03.240	  0.499	  0.409	  0.490	  0.500	  0.420
       0:03.248	  0.512	  0.407	  0.500	  0.535	  0.371
       0:03.256	  0.526	  0.406	  0.490	  0.551	  0.349
       0:03.264	  0.540	  0.405	  0.510	  0.565	  0.329
       0:03.272	  0.554	  0.404	  0.510	  0.584	  0.300
       0:03.280	  0.567	  0.403	  0.520	  0.584	  0.304
       0:03.288	  0.580	  0.402	  0.516	  0.590	  0.284
       0:03.296	  0.592	  0.402	  0.520	  0.590	  0.290
       0:03.304	  0.605	  0.401	  0.506	  0.596	  0.284
       0:03.312	  0.619	  0.399	  0.520	  0.584	  0.300
       0:03.320	  0.632	  0.397	  0.520	  0.580	  0.310
       0:03.328	  0.646	  0.394	  0.529	  0.575	  0.304
       0:03.336	  0.661	  0.392	  0.520	  0.565	  0.329
       0:03.344	  0.674	  0.390	  0.525	  0.571	  0.335
       0:03.352	  0.687	  0.389	  0.529	  0.565	  0.335
       0:03.360	  0.699	  0.388	  0.529	  0.571	  0.335
       0:03.368	  0.711	  0.388	  0.525	  0.565	  0.339
       0:03.376	  0.721	  0.388	  0.520	  0.551	  0.355
       0:03.384	  0.733	  0.388	  0.516	  0.545	  0.355
       0:03.392	  0.744	  0.387	  0.506	  0.551	  0.355
       0:03.400	  0.756	  0.385	  0.510	  0.545	  0.355
       0:03.408	  0.767	  0.383	  0.506	  0.555	  0.349
       0:03.416	  0.778	  0.381	  0.510	  0.561	  0.339
       0:03.424	  0.789	  0.379	  0.506	  0.555	  0.345
       0:03.432	  0.801	  0.378	  0.516	  0.551	  0.349
       0:03.440	  0.810	  0.380	  0.539	  0.555	  0.355
       0:03.448	  0.820	  0.382	  0.561	  0.545	  0.365
